,date,frequency,avg_passenger_count,avg_trip_distance,avg_fare_amount,avg_tip_amount,avg_total_amount,sum_passenger_count,sum_trip_distance,sum_fare_amount,sum_tip_amount,sum_total_amount,date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,policy,policy_coverage_area
79,2020-04-20,6239,1.0,2.2291537105305372,9.221437730405514,1.352944382112514,13.732162205482624,6239.0,13907.69000000002,57532.549999999996,8441.019999999975,85674.96000000609,2020-04-20,3792.0,630.0,363.0,3349.0,3460.0,735.0,416.0,527.0,1.0,1.0
80,2020-04-21,6092,1.0,2.2283732764280972,9.228566973079449,1.4101411687458887,13.812087984242558,6092.0,13575.249999999967,56220.43,8590.579999999954,84143.24000000567,2020-04-21,3063.0,585.0,323.0,3195.0,3299.0,679.0,390.0,494.0,1.0,1.0
81,2020-04-22,6561,1.0,2.2272610882487456,9.251124828532236,1.3927145252248117,13.809402530103114,6561.0,14613.06000000002,60696.63,9137.59999999999,90603.49000000652,2020-04-22,3447.0,512.0,311.0,3133.0,3234.0,630.0,369.0,470.0,1.0,1.0
82,2020-04-23,6712,1.0,2.2117476162097764,9.189703516090583,1.4041895113230016,13.75260131108561,6712.0,14845.250000000018,61681.28999999999,9424.919999999987,92307.46000000661,2020-04-23,2841.0,443.0,330.0,3035.0,3128.0,582.0,357.0,450.0,1.0,1.0
83,2020-04-24,7023,1.0,2.2202278228677192,9.223119749394845,1.3964473871564846,13.77715506194039,7023.0,15592.659999999993,64773.969999999994,9807.24999999999,96756.96000000736,2020-04-24,2535.0,462.0,314.0,2885.0,2972.0,536.0,347.0,435.0,1.0,1.0
84,2020-04-25,5428,1.0,2.2722402358142975,9.409253868828298,1.33993551952837,13.586536477524787,5428.0,12333.720000000007,51073.43,7273.169999999992,73747.72000000454,2020-04-25,1595.0,323.0,265.0,2802.0,2881.0,498.0,329.0,408.0,1.0,1.0
85,2020-04-26,3688,1.0,2.318874728850319,9.454910520607376,1.423760845986983,13.785667028199972,3688.0,8552.009999999977,34869.71,5250.829999999994,50841.5400000015,2020-04-26,1003.0,312.0,245.0,2611.0,2684.0,467.0,307.0,380.0,1.0,1.0
86,2020-04-27,6423,1.0,2.2129814728320136,9.17650786236961,1.409754009030042,13.747292542426646,6423.0,14213.980000000023,58940.71000000001,9054.84999999996,88298.86000000635,2020-04-27,2290.0,370.0,270.0,2396.0,2462.0,430.0,294.0,360.0,1.0,1.0
87,2020-04-28,6678,1.0,2.2145882000599024,9.257532195268045,1.3717520215633368,13.80350554058201,6678.0,14789.020000000028,61821.8,9160.559999999963,92179.81000000666,2020-04-28,2726.0,350.0,229.0,2348.0,2405.0,396.0,281.0,338.0,1.0,1.0
88,2020-04-29,6869,1.0,2.209352161886743,9.193841898384044,1.39538069588004,13.76337166982196,6869.0,15176.040000000039,63152.5,9584.869999999995,94540.60000000705,2020-04-29,2340.0,309.0,237.0,2190.0,2240.0,367.0,270.0,320.0,1.0,1.0
